year,quarter,industry,region_scope,total_companies_impacted,total_layoffs
2020,1,Aerospace,Global,1,451.0
2020,1,Consumer,Global,4,700.0
2020,1,Data,Global,2,220.0
2020,1,Education,Global,1,50.0
2020,1,Energy,Global,2,167.0
2020,1,Fintech,Global,4,189.0
2020,1,Fitness,Global,2,801.0
2020,1,Food,Global,3,126.0
2020,1,HR,Global,4,515.0
2020,1,Infrastructure,Global,2,80.0
2020,1,Logistics,Global,2,414.0
2020,1,Marketing,Global,5,288.0
2020,1,Media,Global,2,61.0
2020,1,Other,Global,1,13.0
2020,1,Product,Global,1,12.0
2020,1,Real Estate,Global,7,928.0
2020,1,Retail,Global,4,384.0
2020,1,Support,Global,1,16.0
2020,1,Transportation,Global,5,722.0
2020,1,Travel,Global,8,1304.0
2020,2,Aerospace,Global,1,40.0
2020,2,Construction,Global,2,656.0
2020,2,Consumer,Global,13,4391.0
2020,2,Crypto,Global,1,91.0
2020,2,Data,Global,10,582.0
2020,2,Education,Global,6,454.0
2020,2,Fintech,Global,38,5401.0
2020,2,Fitness,Global,5,2221.0
2020,2,Food,Global,11,5058.0
2020,2,Healthcare,Global,10,664.0
2020,2,HR,Global,21,1411.0
2020,2,Infrastructure,Global,3,70.0
2020,2,Legal,Global,1,150.0
2020,2,Logistics,Global,5,459.0
2020,2,Marketing,Global,24,1745.0
2020,2,Media,Global,7,322.0
2020,2,Other,Global,3,352.0
2020,2,Product,Global,3,63.0
2020,2,Real Estate,Global,12,1378.0
2020,2,Retail,Global,21,6864.0
2020,2,Sales,Global,2,62.0
2020,2,Security,Global,4,150.0
2020,2,Support,Global,6,252.0
2020,2,Transportation,Global,20,12424.0
2020,2,Transportation,Indonesia,1,430.0
2020,2,Travel,Global,9,3670.0
2020,3,Construction,Global,1,180.0
2020,3,Consumer,Global,1,250.0
2020,3,Data,Global,1,240.0
2020,3,Fintech,Global,3,119.0
2020,3,Food,Global,3,445.0
2020,3,Healthcare,Global,2,55.0
2020,3,HR,Global,2,1024.0
2020,3,Marketing,Global,1,60.0
2020,3,Retail,Global,3,337.0
2020,3,Sales,Global,1,1000.0
2020,3,Transportation,Global,1,30.0
2020,3,Travel,Global,2,650.0
2020,4,Fintech,Global,1,5.0
2020,4,Healthcare,Global,1,154.0
2020,4,Real Estate,Global,2,140.0
2020,4,Retail,Global,1,30.0
2020,4,Travel,Global,1,90.0
2021,1,Food,Global,2,267.0
2021,1,Marketing,Global,1,21.0
2021,1,Other,Global,1,315.0
2021,1,Retail,Global,1,45.0
2021,1,Transportation,Global,1,200.0
2021,2,Construction,Global,1,2434.0
2021,2,Infrastructure,Global,1,160.0
2021,3,Education,Global,2,78.0
2021,4,Data,Global,1,70.0
2021,4,Food,Global,1,300.0
2021,4,Real Estate,Global,2,2900.0
2022,1,Consumer,Global,1,80.0
2022,1,Data,Global,2,159.0
2022,1,Education,Global,1,100.0
2022,1,Fitness,Global,1,2800.0
2022,1,Food,Global,3,710.0
2022,1,Healthcare,Global,1,100.0
2022,1,Media,Global,1,100.0
2022,1,Other,Global,1,138.0
2022,1,Real Estate,Global,4,3291.0
2022,1,Retail,Global,2,490.0
2022,1,Transportation,Global,1,111.0
2022,2,Construction,Global,1,140.0
2022,2,Consumer,Global,10,720.0
2022,2,Crypto,Global,13,2645.0
2022,2,Data,Global,6,482.0
2022,2,Education,Global,11,2602.0
2022,2,Energy,Global,1,30.0
2022,2,Fintech,Global,27,3452.0
2022,2,Food,Global,9,1544.0
2022,2,Healthcare,Global,12,1608.0
2022,2,Infrastructure,Global,1,80.0
2022,2,Legal,Global,1,110.0
2022,2,Logistics,Global,4,409.0
2022,2,Marketing,Global,3,348.0
2022,2,Media,Global,6,643.0
2022,2,Other,Global,6,701.0
2022,2,Product,Global,4,168.0
2022,2,Real Estate,Global,4,1125.0
2022,2,Retail,Global,16,2780.0
2022,2,Security,Global,8,1708.0
2022,2,Transportation,Global,13,5710.0
2022,2,Travel,Global,3,480.0
2022,3,Aerospace,Global,1,100.0
2022,3,Construction,Global,1,70.0
2022,3,Consumer,Global,5,1750.0
2022,3,Crypto,Global,9,700.0
2022,3,Data,Global,5,399.0
2022,3,Education,Global,5,291.0
2022,3,Fintech,Global,23,2877.0
2022,3,Fitness,Global,4,1196.0
2022,3,Food,Global,7,2876.0
2022,3,Healthcare,Global,22,2967.0
2022,3,HR,Global,9,304.0
2022,3,Infrastructure,Global,4,435.0
2022,3,Legal,Global,1,30.0
2022,3,Logistics,Global,6,854.0
2022,3,Marketing,Global,17,1132.0
2022,3,Media,Global,3,189.0
2022,3,Other,Global,7,1250.0
2022,3,Product,Global,4,248.0
2022,3,Real Estate,Global,7,1103.0
2022,3,Retail,Global,13,2901.0
2022,3,Sales,Global,5,830.0
2022,3,Security,Global,7,484.0
2022,3,Support,Global,4,440.0
2022,3,Transportation,Global,9,1984.0
2022,3,Travel,Global,1,85.0
2022,4,Construction,Global,2,223.0
2022,4,Consumer,Global,8,15755.0
2022,4,Crypto,Global,9,3476.0
2022,4,Data,Global,3,330.0
2022,4,Education,Global,8,3613.0
2022,4,Fintech,Global,34,4197.0
2022,4,Fintech,Indonesia,2,137.0
2022,4,Fitness,Global,3,1200.0
2022,4,Food,Global,17,3106.0
2022,4,Healthcare,Global,16,2508.0
2022,4,HR,Global,5,425.0
2022,4,Infrastructure,Global,3,4291.0
2022,4,Legal,Global,1,150.0
2022,4,Logistics,Global,2,120.0
2022,4,Marketing,Global,14,1328.0
2022,4,Media,Global,5,594.0
2022,4,Other,Global,11,1360.0
2022,4,Product,Global,4,345.0
2022,4,Real Estate,Global,12,2846.0
2022,4,Retail,Global,12,11863.0
2022,4,Retail,Indonesia,3,494.0
2022,4,Sales,Global,6,1481.0
2022,4,Security,Global,10,938.0
2022,4,Support,Global,4,764.0
2022,4,Transportation,Global,11,3765.0
2022,4,Transportation,Indonesia,1,1300.0
2022,4,Travel,Global,1,144.0
2023,1,Consumer,Global,12,25605.0
2023,1,Crypto,Global,12,2153.0
2023,1,Data,Global,7,949.0
2023,1,e-commerce,Global,1,500.0
2023,1,Education,Global,4,234.0
2023,1,Fintech,Global,27,5908.0
2023,1,Fitness,Global,2,110.0
2023,1,Food,Global,10,2770.0
2023,1,Hardware,Global,3,7280.0
2023,1,Healthcare,Global,14,2225.0
2023,1,HR,Global,8,3516.0
2023,1,Infrastructure,Global,1,200.0
2023,1,Legal,Global,3,216.0
2023,1,Logistics,Global,4,1145.0
2023,1,Manufacturing,Global,1,20.0
2023,1,Marketing,Global,11,1939.0
2023,1,Media,Global,12,1811.0
2023,1,Other,Global,24,17712.0
2023,1,Product,Global,2,151.0
2023,1,Real Estate,Global,1,340.0
2023,1,Retail,Global,19,20234.0
2023,1,Sales,Global,9,9308.0
2023,1,Security,Global,11,1573.0
2023,1,Software Development,Global,2,10100.0
2023,1,Support,Global,5,517.0
2023,1,Transportation,Global,11,3257.0
2023,1,Transportation,Indonesia,1,360.0
2023,1,Travel,Global,4,1534.0
2023,2,Consumer,Global,4,358.0
2023,2,Crypto,Global,5,1043.0
2023,2,Data,Global,3,519.0
2023,2,Education,Global,5,500.0
2023,2,Energy,Global,1,10.0
2023,2,Fintech,Global,20,2007.0
2023,2,Food,Global,8,9586.0
2023,2,Hardware,Global,1,60.0
2023,2,Healthcare,Global,10,1562.0
2023,2,HR,Global,8,1370.0
2023,2,Infrastructure,Global,5,519.0
2023,2,Logistics,Global,3,205.0
2023,2,Marketing,Global,4,315.0
2023,2,Media,Global,5,487.0
2023,2,Other,Global,13,2294.0
2023,2,Product,Global,1,100.0
2023,2,Real Estate,Global,2,761.0
2023,2,Retail,Global,7,2743.0
2023,2,Sales,Global,2,260.0
2023,2,Security,Global,5,550.0
2023,2,Support,Global,1,320.0
2023,2,Transportation,Global,7,2861.0
2023,2,Travel,Global,2,1264.0
2023,3,Aerospace,Global,2,192.0
2023,3,Consumer,Global,2,907.0
2023,3,Crypto,Global,1,90.0
2023,3,Data,Global,3,330.0
2023,3,Education,Global,3,239.0
2023,3,Fintech,Global,10,1948.0
2023,3,Food,Global,8,3831.0
2023,3,Healthcare,Global,7,366.0
2023,3,HR,Global,4,322.0
2023,3,Logistics,Global,2,181.0
2023,3,Manufacturing,Global,2,770.0
2023,3,Marketing,Global,3,148.0
2023,3,Media,Global,3,444.0
2023,3,Other,Global,6,1107.0
2023,3,Product,Global,2,274.0
2023,3,Real Estate,Global,4,290.0
2023,3,Retail,Global,4,689.0
2023,3,Sales,Global,1,70.0
2023,3,Security,Global,7,1174.0
2023,3,Transportation,Global,3,517.0
2023,3,Travel,Global,2,225.0
2023,4,AI,Global,2,170.0
2023,4,Consumer,Global,2,240.0
2023,4,Crypto,Global,2,176.0
2023,4,Data,Global,3,605.0
2023,4,Education,Global,2,149.0
2023,4,Energy,Global,1,350.0
2023,4,Fintech,Global,10,1008.0
2023,4,Food,Global,1,65.0
2023,4,Hardware,Global,1,130.0
2023,4,Healthcare,Global,4,568.0
2023,4,HR,Global,2,733.0
2023,4,Logistics,Global,1,500.0
2023,4,Media,Global,1,1500.0
2023,4,Other,Global,4,1880.0
2023,4,Product,Global,1,40.0
2023,4,Retail,Global,5,1644.0
2023,4,Sales,Global,1,140.0
2023,4,Transportation,Global,3,1228.0
2023,4,Travel,Global,2,375.0
2024,1,Consumer,Global,11,4410.0
2024,1,Crypto,Global,3,102.0
2024,1,Data,Global,1,60.0
2024,1,e-commerce,Global,1,1000.0
2024,1,Education,Global,3,74.0
2024,1,Energy,Global,4,1230.0
2024,1,Fintech,Global,9,3992.0
2024,1,Food,Global,8,1618.0
2024,1,Hardware,Global,3,9010.0
2024,1,Healthcare,Global,7,841.0
2024,1,HR,Global,1,14.0
2024,1,Infrastructure,Global,3,5330.0
2024,1,Logistics,Global,2,164.0
2024,1,Marketing,Global,3,187.0
2024,1,Media,Global,5,371.0
2024,1,Other,Global,6,10170.0
2024,1,Retail,Global,12,5456.0
2024,1,Sales,Global,3,1180.0
2024,1,Security,Global,3,740.0
2024,1,Transportation,Global,6,1168.0
2024,1,Travel,Global,5,2342.0
2024,2,Aerospace,Global,3,314.0
2024,2,AI,Global,2,32.0
2024,2,Appliances,Global,1,5000.0
2024,2,Business Consulting and Services,Global,1,360.0
2024,2,Consumer,Global,1,96.0
2024,2,Crypto,Global,1,30.0
2024,2,Education,Global,4,1827.0
2024,2,Energy,Global,1,170.0
2024,2,Entertainment Providers,Global,1,600.0
